date,open,high,low,close,volume
2016-09-08,581.0,597.0,580.0,592.25,320887182
2016-09-09,595.0,595.7,579.0,581.5,163994306
2016-09-12,576.9,578.6,565.0,568.9,103300494
2016-09-14,578.25,583.25,568.25,576.65,81319437
2016-09-15,577.55,590.6,576.9,584.45,104559315
2016-09-16,585.05,595.0,585.0,592.35,113520766
2016-09-19,593.0,600.0,593.0,597.7,84429273
2016-09-20,598.05,607.5,596.0,601.9,82022750
2016-09-21,605.0,605.2,597.1,600.2,83211648
2016-09-22,605.0,610.4,604.0,608.95,126725599
2016-09-23,609.0,617.7,605.0,611.15,48137770
2016-09-26,607.0,614.35,602.0,604.2,164577844
2016-09-27,603.0,610.3,602.85,607.45,40226697
2016-09-28,608.9,612.45,603.0,605.3,35535783
2016-09-29,609.0,610.55,585.95,600.9,87444217
2016-09-30,601.0,605.0,562.05,580.25,489522803
2016-10-03,582.45,591.6,582.45,588.65,85789333
2016-10-04,594.85,604.0,591.15,595.35,121358281
2016-10-05,598.0,600.7,591.05,592.8,151259325
2016-10-06,592.8,596.65,577.1,579.15,83196794
2016-10-07,581.25,582.75,566.1,569.7,214322500
2016-10-10,572.5,583.65,572.5,580.55,72549814
2016-10-13,593.5,598.9,580.0,581.85,206709233
2016-10-14,585.0,589.8,584.5,586.55,54546254
2016-10-17,589.9,591.55,583.45,584.45,100044132
2016-10-18,589.45,592.2,583.0,591.2,79764668
2016-10-19,592.0,597.9,592.0,594.9,65454602
2016-10-20,598.0,600.1,593.75,595.05,51582547
2016-10-21,594.75,596.5,570.3,582.75,97960528
2016-10-24,583.0,593.95,582.25,585.05,54826041
2016-10-25,588.0,593.75,583.2,585.3,34818618
2016-10-26,585.25,585.25,575.1,577.3,47236993
2016-10-27,578.0,586.55,572.0,584.6,61173158
2016-10-28,585.0,586.7,573.0,574.45,35502826
2016-10-30,578.0,580.1,575.15,577.35,9467336
2016-11-01,578.0,579.2,570.25,571.05,41913446
2016-11-02,570.0,570.0,556.0,558.8,232246153
2016-11-03,560.1,563.95,557.0,559.05,42023770
2016-11-04,565.75,565.75,538.5,544.5,107306693
2016-11-07,549.0,555.5,544.0,545.75,55064048
2016-11-08,545.1,550.0,531.4,536.25,68492250
2016-11-09,512.0,533.0,487.35,528.1,132107535
2016-11-10,538.0,572.0,538.0,564.25,180965202
2016-11-11,562.05,564.25,546.0,549.7,52079646
2016-11-15,549.0,560.05,529.0,552.75,59589177
2016-11-16,561.1,562.0,535.0,538.65,70213120
2016-11-17,540.0,549.2,536.05,544.7,29452007
2016-11-18,548.0,555.9,540.0,549.75,51029942
2016-11-21,550.0,554.0,542.0,544.95,29007543
2016-11-22,548.25,558.95,544.0,549.75,49526037
2016-11-23,555.5,559.0,547.85,552.2,73363286
2016-11-24,552.0,557.9,546.0,553.65,38716908
2016-11-25,550.0,568.65,549.1,563.35,69685999
2016-11-28,570.0,577.0,567.8,570.55,95882567
2016-11-29,573.0,573.0,564.95,569.1,53335131
2016-11-30,569.0,572.2,564.95,566.55,23750439
2016-12-01,574.6,580.0,567.0,568.15,59234664
2016-12-02,565.05,573.0,565.05,571.4,50114554
2016-12-05,571.4,580.7,571.4,573.2,48979210
2016-12-06,577.0,580.0,571.0,574.95,41308176
2016-12-07,578.0,578.0,569.0,570.4,44400331
2016-12-08,571.85,584.9,571.0,581.8,87370380
2016-12-09,583.95,585.0,576.0,579.3,40719656
2016-12-12,578.0,581.05,572.55,574.35,21921429
2016-12-13,574.0,581.0,570.6,578.2,21930821
2016-12-14,578.55,579.5,565.0,568.45,40856755
2016-12-15,570.0,576.2,560.0,561.6,67211368
2016-12-16,562.5,569.75,561.25,566.0,25919684
2016-12-19,566.0,573.05,561.75,568.45,51408941
2016-12-20,573.0,574.5,561.0,562.0,49488324
2016-12-21,565.0,567.2,561.8,562.85,62210043
