,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
63363,3536897,13816,DAAWAT,LT FOODS,0.0,,0.0,0.05,1,EQ,NSE,NSE
63364,197633,772,DABUR,DABUR INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE
63365,2067201,8075,DALBHARAT,DALMIA BHARAT,0.0,,0.0,0.05,1,EQ,NSE,NSE
63366,199937,781,DALMIASUG,DALMIA BHARAT SUG IN,0.0,,0.0,0.05,1,EQ,NSE,NSE
63367,4490497,17541,DAMODARIND,DAMODAR INDUSTRIES,0.0,,0.0,0.05,1,EQ,NSE,NSE
63368,1167105,4559,DANGEE-SM,,0.0,,0.0,0.05,800,EQ,NSE,NSE
63369,2924289,11423,DATAMATICS,DATAMATICS GLOBAL SER,0.0,,0.0,0.05,1,EQ,NSE,NSE
63370,4577537,17881,DBCORP,D.B.CORP,0.0,,0.0,0.05,1,EQ,NSE,NSE
63371,4630017,18086,DBL,DILIP BUILDCON,0.0,,0.0,0.05,1,EQ,NSE,NSE
63372,4639745,18124,DBREALTY,D B REALTY,0.0,,0.0,0.05,1,EQ,NSE,NSE
63373,7963393,31107,DBSTOCKBRO,DB (INT) STOCK BROKERS,0.0,,0.0,0.05,1,EQ,NSE,NSE
63374,5556225,21704,DCAL,DISHMAN CARBO AMCIS,0.0,,0.0,0.05,1,EQ,NSE,NSE
63375,3513601,13725,DCBBANK,DCB BANK,0.0,,0.0,0.05,1,EQ,NSE,NSE
63376,4099073,16012,DCI-SM,,0.0,,0.0,0.05,3000,EQ,NSE,NSE
63377,206081,805,DCM,DCM,0.0,,0.0,0.05,1,EQ,NSE,NSE
63378,2228225,8704,DCMFINSERV-BE,DCM FINANCIAL SERVICES LT,0.0,,0.0,0.05,1,EQ,NSE,NSE
63379,2825985,11039,DCMNVL,DCM NOUVELLE,0.0,,0.0,0.05,1,EQ,NSE,NSE
63380,207617,811,DCMSHRIRAM,DCM SHRIRAM,0.0,,0.0,0.05,1,EQ,NSE,NSE
63381,209153,817,DCW,DCW,0.0,,0.0,0.05,1,EQ,NSE,NSE
63382,3798529,14838,DECCANCE,DECCAN CEMENTS,0.0,,0.0,0.05,1,EQ,NSE,NSE
63383,211713,827,DEEPAKFERT,DEEPAK FERTILIZERS & PETR,0.0,,0.0,0.05,1,EQ,NSE,NSE
63384,5105409,19943,DEEPAKNTR,DEEPAK NITRITE,0.0,,0.0,0.05,1,EQ,NSE,NSE
63385,4670465,18244,DEEPIND,DEEP INDUSTRIES,0.0,,0.0,0.05,1,EQ,NSE,NSE
63386,3851265,15044,DELTACORP,DELTA CORP,0.0,,0.0,0.05,1,EQ,NSE,NSE
63387,310785,1214,DELTAMAGNT,DELTA MANUFACTURING,0.0,,0.0,0.05,1,EQ,NSE,NSE
63388,4536833,17722,DEN,DEN NETWORKS,0.0,,0.0,0.05,1,EQ,NSE,NSE
63389,1095425,4279,DENORA,DE NORA INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE
63390,5246465,20494,DEVIT-SM,,0.0,,0.0,0.05,1500,EQ,NSE,NSE
63391,4933377,19271,DFMFOODS,DFM FOODS,0.0,,0.0,0.05,1,EQ,NSE,NSE
63392,2651649,10358,DGCONTENT-BE,DIGICONTENT,0.0,,0.0,0.05,1,EQ,NSE,NSE
63393,219393,857,DHAMPURSUG,DHAMPUR SUGAR MILLS.,0.0,,0.0,0.05,1,EQ,NSE,NSE
63394,2907905,11359,DHANBANK,DHANLAXMI BANK,0.0,,0.0,0.05,1,EQ,NSE,NSE
63395,2105345,8224,DHANILOANS-N1,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63396,2339841,9140,DHANILOANS-N2,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63397,2340609,9143,DHANILOANS-N3,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63398,2341889,9148,DHANILOANS-N4,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63399,2343425,9154,DHANILOANS-N5,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63400,2344193,9157,DHANILOANS-N6,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63401,2345217,9161,DHANILOANS-N7,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63402,2346241,9165,DHANILOANS-N8,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63403,2693377,10521,DHANILOANS-NA,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63404,2697473,10537,DHANILOANS-NB,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63405,2697985,10539,DHANILOANS-NC,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63406,2713089,10598,DHANILOANS-ND,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63407,2720257,10626,DHANILOANS-NE,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63408,2720769,10628,DHANILOANS-NF,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63409,2721281,10630,DHANILOANS-NG,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63410,2728705,10659,DHANILOANS-NH,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63411,3328001,13000,DHANILOANS-NJ,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63412,3329025,13004,DHANILOANS-NK,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63413,3329793,13007,DHANILOANS-NL,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63414,3330561,13010,DHANILOANS-NM,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63415,3331073,13012,DHANILOANS-NN,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63416,3332353,13017,DHANILOANS-NO,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63417,3333377,13021,DHANILOANS-NP,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63418,3333889,13023,DHANILOANS-NQ,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63419,6248705,24409,DHANUKA,DHANUKA AGRITECH,0.0,,0.0,0.05,1,EQ,NSE,NSE
63420,221697,866,DHARSUGAR,DHARANI SUGARS & CHEMICAL,0.0,,0.0,0.05,1,EQ,NSE,NSE
63421,215553,842,DHFL,DEWAN HOUSING FIN CORP LT,0.0,,0.0,0.05,1,EQ,NSE,NSE
63422,4678657,18276,DHFL-N3,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63423,4681217,18286,DHFL-N4,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63424,4681729,18288,DHFL-N5,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63425,4682241,18290,DHFL-N6,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63426,4684289,18298,DHFL-N9,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63427,4684801,18300,DHFL-NA,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63428,4685313,18302,DHFL-NB,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63429,4685825,18304,DHFL-NC,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63430,4687361,18310,DHFL-NF,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63431,4687873,18312,DHFL-NG,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63432,4688385,18314,DHFL-NH,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63433,4733185,18489,DHFL-NM,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63434,4733697,18491,DHFL-NN,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63435,4734209,18493,DHFL-NO,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63436,4734721,18495,DHFL-NP,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63437,855809,3343,DHFL-NQ,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63438,856833,3347,DHFL-NR,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63439,858369,3353,DHFL-NS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63440,859905,3359,DHFL-NT,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63441,861441,3365,DHFL-NU,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63442,861953,3367,DHFL-NV,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63443,862465,3369,DHFL-NW,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63444,862977,3371,DHFL-NX,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63445,864513,3377,DHFL-NY,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63446,866049,3383,DHFL-NZ,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63447,868609,3393,DHFL-Y1,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63448,872961,3410,DHFL-Y2,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63449,5691649,22233,DHUNINV,DHUNSERI INVESTMENTS,0.0,,0.0,0.05,1,EQ,NSE,NSE
63450,5591041,21840,DIAMONDYD,PRATAAP SNACKS,0.0,,0.0,0.05,1,EQ,NSE,NSE
63451,1221633,4772,DIAPOWER-BZ,,0.0,,0.0,0.05,1,EQ,NSE,NSE
63452,179969,703,DICIND,DIC INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE
63453,4270849,16683,DIGISPICE,DIGISPICE TECHNOLOGIES LT,0.0,,0.0,0.05,1,EQ,NSE,NSE
63454,3408641,13315,DIGJAMLTD-BZ,,0.0,,0.0,0.05,1,EQ,NSE,NSE
63455,3721473,14537,DISHTV,DISH TV INDIA.,0.0,,0.0,0.05,1,EQ,NSE,NSE
63456,2800641,10940,DIVISLAB,DIVI'S LABORATORIES,0.0,,0.0,0.05,1,EQ,NSE,NSE
63457,5552641,21690,DIXON,DIXON TECHNO (INDIA),0.0,,0.0,0.05,1,EQ,NSE,NSE
63458,3771393,14732,DLF,DLF,0.0,,0.0,0.05,1,EQ,NSE,NSE
63459,4569857,17851,DLINKINDIA,D-LINK INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE
63460,5097729,19913,DMART,AVENUE SUPERMARTS,0.0,,0.0,0.05,1,EQ,NSE,NSE
63461,164097,641,DNAMEDIA,DILIGENT MEDIA CORP.,0.0,,0.0,0.05,1,EQ,NSE,NSE
63462,3103745,12124,DOLAT,DOLAT INVESTMENTS,0.0,,0.0,0.05,1,EQ,NSE,NSE
63463,5263361,20560,DOLLAR,DOLLAR INDUSTRIES,0.0,,0.0,0.05,1,EQ,NSE,NSE
63464,3542785,13839,DONEAR,DONEAR IND.,0.0,,0.0,0.05,1,EQ,NSE,NSE
63465,59137,231,DPABHUSHAN-SM,,0.0,,0.0,0.05,4000,EQ,NSE,NSE
63466,3947265,15419,DPSCLTD,DPSC,0.0,,0.0,0.05,1,EQ,NSE,NSE
63467,4326401,16900,DPWIRES,D P WIRES,0.0,,0.0,0.05,1,EQ,NSE,NSE
63468,6210305,24259,DQE,DQ ENTERTAINMENT INT,0.0,,0.0,0.05,1,EQ,NSE,NSE
63469,2885377,11271,DREDGECORP,DREDGING CORP OF INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE
63470,4804865,18769,DRL-SM,,0.0,,0.0,0.05,6000,EQ,NSE,NSE
63471,225537,881,DRREDDY,DR. REDDY'S LABORATORIES,0.0,,0.0,0.05,1,EQ,NSE,NSE
63472,1711617,6686,DRSDILIP-SM,,0.0,,0.0,0.05,1600,EQ,NSE,NSE
63473,843265,3294,DSML-SM,,0.0,,0.0,0.05,6000,EQ,NSE,NSE
63474,6576641,25690,DSSL,DYNACONS SYS & SOLN,0.0,,0.0,0.05,1,EQ,NSE,NSE
63475,1594113,6227,DTIL,DHUNSERI TEA & IND..,0.0,,0.0,0.05,1,EQ,NSE,NSE
63476,7411713,28952,DUCON,DUCON INFRATECHNOLOGIES L,0.0,,0.0,0.05,1,EQ,NSE,NSE
63477,3895809,15218,DVL-BE,DHUNSERI VENTURES,0.0,,0.0,0.05,1,EQ,NSE,NSE
63478,2986753,11667,DWARKESH,DWARIKESH SUGAR IND,0.0,,0.0,0.05,1,EQ,NSE,NSE
63479,1158401,4525,DYNAMATECH,DYNAMATIC TECHNOLOGIES,0.0,,0.0,0.05,1,EQ,NSE,NSE
63480,5456385,21314,DYNPRO,DYNEMIC PRODUCTS,0.0,,0.0,0.05,1,EQ,NSE,NSE
63481,765441,2990,E2E-SM,,0.0,,0.0,0.05,2000,EQ,NSE,NSE
63482,232193,907,EASTSILK,EASTERN SILK INDUSTRIES L,0.0,,0.0,0.05,1,EQ,NSE,NSE
63483,1009921,3945,EASUNREYRL-BZ,,0.0,,0.0,0.05,1,EQ,NSE,NSE
63484,2976001,11625,EBANK,EDELWEISS ETF-NIFTY BANK,0.0,,0.0,0.01,1,EQ,NSE,NSE
63485,4152833,16222,EBBETF0423,EDELAMC - EBBETF0423,0.0,,0.0,0.01,1,EQ,NSE,NSE
63486,5694209,22243,EBBETF0425,EDELAMC - EBBETF0425,0.0,,0.0,0.01,1,EQ,NSE,NSE
63487,4160769,16253,EBBETF0430,EDELAMC - EBBETF0430,0.0,,0.0,0.01,1,EQ,NSE,NSE
63488,5693185,22239,EBBETF0431,EDELAMC - EBBETF0431,0.0,,0.0,0.01,1,EQ,NSE,NSE
63489,6244097,24391,EBIXFOREX,EBIXCASH WRLD MONEY IND,0.0,,0.0,0.05,1,EQ,NSE,NSE
63490,3885825,15179,ECLERX,ECLERX SERVICES,0.0,,0.0,0.05,1,EQ,NSE,NSE
63491,1092609,4268,ECLFINANCE-NE,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63492,1093633,4272,ECLFINANCE-NF,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63493,1094657,4276,ECLFINANCE-NG,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63494,1095681,4280,ECLFINANCE-NH,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63495,1096705,4284,ECLFINANCE-NI,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63496,1097729,4288,ECLFINANCE-NJ,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63497,1098753,4292,ECLFINANCE-NK,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63498,1099777,4296,ECLFINANCE-NL,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63499,2036737,7956,ECLFINANCE-NM,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63500,2038017,7961,ECLFINANCE-NN,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63501,2039809,7968,ECLFINANCE-NO,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63502,2040321,7970,ECLFINANCE-NP,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63503,2040833,7972,ECLFINANCE-NQ,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63504,2041601,7975,ECLFINANCE-NR,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63505,2044417,7986,ECLFINANCE-NS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63506,3870465,15119,EDELWEISS,EDELWEISS FIN SERV,0.0,,0.0,0.05,1,EQ,NSE,NSE
63507,5567233,21747,EDUCOMP-BZ,,0.0,,0.0,0.05,1,EQ,NSE,NSE
63508,4572161,17860,EHFLNCD-N3,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63509,4572673,17862,EHFLNCD-N4,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63510,4573185,17864,EHFLNCD-N5,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63511,4573697,17866,EHFLNCD-N6,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63512,4574209,17868,EHFLNCD-N7,,0.0,,0.0,0.01,1,EQ,NSE,NSE
63513,232961,910,EICHERMOT,EICHER MOTORS,0.0,,0.0,0.05,1,EQ,NSE,NSE
63514,234497,916,EIDPARRY,EID PARRY INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE
63515,5183745,20249,EIFFL-SM,,0.0,,0.0,0.05,800,EQ,NSE,NSE
63516,3942145,15399,EIHAHOTELS,EIH ASSOCIATED HOTELS,0.0,,0.0,0.05,1,EQ,NSE,NSE
63517,235265,919,EIHOTEL,EIH,0.0,,0.0,0.05,1,EQ,NSE,NSE
63518,1034241,4040,EIMCOELECO,EIMCO ELECON (INDIA),0.0,,0.0,0.05,1,EQ,NSE,NSE
