===============================================================================
Id,EUR_USD,len,datetime,open,high,low,close,volume,openinterest,GBP_USD,len,datetime,open,high,low,close,volume,openinterest,St,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,EUR_USD,GBP_USD
42,EUR_USD,42,2019-02-27 22:00:00,1.13706,1.14197,1.13673,1.13596,,-1.0,GBP_USD,42,2019-02-27 22:00:00,1.32622,1.33195,1.33088,1.32538,,-1.0,St,42,737117.9166666666,Broker,42,100.0,100.0,BuySell,42,,,BuySell,42,,,DataTrades,42,,
43,EUR_USD,43,2019-02-28 22:00:00,1.13648,1.14086,1.13706,1.13532,,-1.0,GBP_USD,43,2019-02-28 22:00:00,1.32052,1.32862,1.32622,1.31719,,-1.0,St,43,737118.9166666666,Broker,43,100.0,100.0,BuySell,43,,,BuySell,43,,,DataTrades,43,,
44,EUR_USD,44,2019-03-03 22:00:00,1.13398,1.13831,1.13828,1.13092,,-1.0,GBP_USD,44,2019-03-03 22:00:00,1.31806,1.32552,1.32488,1.31668,,-1.0,St,44,737121.9166666666,Broker,44,100.0,100.0,BuySell,44,,,BuySell,44,,,DataTrades,44,,
45,EUR_USD,45,2019-03-04 22:00:00,1.13078,1.13412,1.13396,1.12896,,-1.0,GBP_USD,45,2019-03-04 22:00:00,1.31781,1.31987,1.31783,1.30977,,-1.0,St,45,737122.9166666666,Broker,45,100.0,100.0,BuySell,45,,,BuySell,45,,,DataTrades,45,,
46,EUR_USD,46,2019-03-05 22:00:00,1.13066,1.13246,1.13078,1.12854,,-1.0,GBP_USD,46,2019-03-05 22:00:00,1.31708,1.31812,1.31757,1.31242,,-1.0,St,46,737123.9166666666,Broker,46,100.0,100.0,BuySell,46,,,BuySell,46,,,DataTrades,46,,
47,EUR_USD,47,2019-03-06 22:00:00,1.1194,1.13202,1.13072,1.11764,,-1.0,GBP_USD,47,2019-03-06 22:00:00,1.30842,1.31849,1.31702,1.30685,,-1.0,St,47,737124.9166666666,Broker,47,100.0,100.0,BuySell,47,,,BuySell,47,,,DataTrades,47,,
48,EUR_USD,48,2019-03-07 22:00:00,1.12347,1.12461,1.11937,1.11854,,-1.0,GBP_USD,48,2019-03-07 22:00:00,1.30158,1.31085,1.30847,1.29904,,-1.0,St,48,737125.9166666666,Broker,48,100.0,100.0,BuySell,48,,,BuySell,48,,,DataTrades,48,,
49,EUR_USD,49,2019-03-10 21:00:00,1.1245,1.12586,1.12336,1.12218,,-1.0,GBP_USD,49,2019-03-10 21:00:00,1.3151,1.31702,1.2973,1.29607,,-1.0,St,49,737128.875,Broker,49,100.0,100.0,BuySell,49,,,BuySell,49,,,DataTrades,49,,
50,EUR_USD,50,2019-03-11 21:00:00,1.12874,1.1305,1.12452,1.12452,,-1.0,GBP_USD,50,2019-03-11 21:00:00,1.30764,1.32895,1.3149,1.30054,,-1.0,St,50,737129.875,Broker,50,100.0,100.0,BuySell,50,,,BuySell,50,,,DataTrades,50,,
51,EUR_USD,51,2019-03-12 21:00:00,1.13278,1.13387,1.12864,1.12776,,-1.0,GBP_USD,51,2019-03-12 21:00:00,1.33383,1.33822,1.3077,1.30609,,-1.0,St,51,737130.875,Broker,51,2566.61,132.76000000000022,BuySell,51,,1.1508780499999998,BuySell,51,,1.3582933,DataTrades,51,,
52,EUR_USD,52,2019-03-13 21:00:00,1.13044,1.13376,1.13296,1.12942,,-1.0,GBP_USD,52,2019-03-13 21:00:00,1.32414,1.33373,1.33373,1.32075,,-1.0,St,52,737131.875,Broker,52,305.73000000000025,114.40000000000032,BuySell,52,1.1159656,,BuySell,52,,,DataTrades,52,2.3400000000000087,
53,EUR_USD,53,2019-03-14 21:00:00,1.1325,1.13444,1.13032,1.12998,,-1.0,GBP_USD,53,2019-03-14 21:00:00,1.32918,1.33001,1.32358,1.32032,,-1.0,St,53,737132.875,Broker,53,305.73000000000025,115.39000000000033,BuySell,53,,,BuySell,53,,,DataTrades,53,,
54,EUR_USD,54,2019-03-17 21:00:00,1.13394,1.13588,1.13226,1.13194,,-1.0,GBP_USD,54,2019-03-17 21:00:00,1.32543,1.33004,1.32962,1.31846,,-1.0,St,54,737135.875,Broker,54,305.73000000000025,119.21000000000026,BuySell,54,,,BuySell,54,,,DataTrades,54,,
55,EUR_USD,55,2019-03-18 21:00:00,1.13507,1.13616,1.13354,1.13338,,-1.0,GBP_USD,55,2019-03-18 21:00:00,1.32656,1.33112,1.32535,1.32413,,-1.0,St,55,737136.875,Broker,55,305.73000000000025,114.98000000000025,BuySell,55,,,BuySell,55,,,DataTrades,55,,
56,EUR_USD,56,2019-03-19 21:00:00,1.14128,1.14482,1.13521,1.13358,,-1.0,GBP_USD,56,2019-03-19 21:00:00,1.31937,1.32744,1.3265,1.31466,,-1.0,St,56,737137.875,Broker,56,305.73000000000025,124.65000000000032,BuySell,56,,,BuySell,56,,,DataTrades,56,,
57,EUR_USD,57,2019-03-20 21:00:00,1.13754,1.14376,1.14128,1.13428,,-1.0,GBP_USD,57,2019-03-20 21:00:00,1.31087,1.32269,1.31965,1.30044,,-1.0,St,57,737138.875,Broker,57,305.73000000000025,139.57000000000016,BuySell,57,,,BuySell,57,,,DataTrades,57,,
58,EUR_USD,58,2019-03-21 21:00:00,1.13014,1.13906,1.13749,1.12736,,-1.0,GBP_USD,58,2019-03-21 21:00:00,1.32098,1.32235,1.31069,1.30814,,-1.0,St,58,737139.875,Broker,58,305.73000000000025,124.95000000000005,BuySell,58,,,BuySell,58,,,DataTrades,58,,
59,EUR_USD,59,2019-03-24 21:00:00,1.13128,1.13314,1.1293,1.12892,,-1.0,GBP_USD,59,2019-03-24 21:00:00,1.31984,1.32464,1.32166,1.31604,,-1.0,St,59,737142.875,Broker,59,2568.29,123.32999999999993,BuySell,59,,1.1501371,BuySell,59,,,DataTrades,59,0.8400000000001739,
60,EUR_USD,60,2019-03-25 21:00:00,1.12656,1.13259,1.13108,1.12634,,-1.0,GBP_USD,60,2019-03-25 21:00:00,1.32048,1.32615,1.31979,1.31578,,-1.0,St,60,737143.875,Broker,60,1247.8099999999997,121.4699999999998,BuySell,60,,,BuySell,60,1.29999315,,DataTrades,60,,13.349999999999973
