date,close,high,low,n,open,t,volume,vw,symbol,instrument_type
10/17/2019,58.82,59.0375,58.38,179986,58.7725,1.57E+12,69091588,58.7266,AAPL,Equity
10/18/2019,59.1025,59.395,58.5725,205169,58.6475,1.57E+12,97508664,58.961,AAPL,Equity
10/21/2019,60.1275,60.2475,59.33,195954,59.38,1.57E+12,89469932,60.0149,AAPL,Equity
10/22/2019,59.99,60.55,59.9055,180732,60.29,1.57E+12,90736004,60.2519,AAPL,Equity
10/23/2019,60.795,60.81,60.305,156381,60.525,1.57E+12,79730180,60.6161,AAPL,Equity
10/24/2019,60.895,61.2,60.4513,144675,61.1275,1.57E+12,71665020,60.7645,AAPL,Equity
10/25/2019,61.645,61.6825,60.72,142574,60.79,1.57E+12,73477184,61.3068,AAPL,Equity
10/28/2019,62.2625,62.3125,61.68,190480,61.855,1.57E+12,96572964,62.0886,AAPL,Equity
10/29/2019,60.8225,62.4375,60.6425,280978,62.2425,1.57E+12,142806828,61.201,AAPL,Equity
10/30/2019,60.815,61.325,60.3025,267208,61.19,1.57E+12,124339688,60.892,AAPL,Equity
10/31/2019,62.19,62.2925,59.315,272736,61.81,1.57E+12,139162080,61.962,AAPL,Equity
11/1/2019,63.955,63.9825,62.29,279590,62.385,1.57E+12,151125336,63.3147,AAPL,Equity
11/4/2019,64.375,64.4613,63.845,204389,64.3325,1.57E+12,103271808,64.2299,AAPL,Equity
11/5/2019,64.2825,64.5475,64.08,162280,64.2625,1.57E+12,79897708,64.3589,AAPL,Equity
11/6/2019,64.31,64.3725,63.8413,154820,64.1925,1.57E+12,75864496,64.1628,AAPL,Equity
11/7/2019,64.8575,65.0875,64.5275,187661,64.685,1.57E+12,94940332,64.8234,AAPL,Equity
11/8/2019,65.035,65.11,64.2125,139066,64.6725,1.57E+12,70066380,64.7375,AAPL,Equity
11/11/2019,65.55,65.6175,64.57,154646,64.575,1.57E+12,82029836,65.2057,AAPL,Equity
11/12/2019,65.49,65.6975,65.23,170371,65.3875,1.57E+12,87388904,65.4792,AAPL,Equity
11/13/2019,66.1175,66.195,65.2675,203747,65.2825,1.57E+12,103259372,65.8956,AAPL,Equity
11/14/2019,65.66,66.22,65.525,200430,65.9375,1.57E+12,89582224,65.8242,AAPL,Equity
11/15/2019,66.44,66.445,65.7525,178689,65.92,1.57E+12,100374664,66.1462,AAPL,Equity
11/18/2019,66.775,66.8575,66.0575,172419,66.45,1.57E+12,86803588,66.5452,AAPL,Equity
11/19/2019,66.5725,67,66.3482,136075,66.975,1.57E+12,76278388,66.6321,AAPL,Equity
11/20/2019,65.7975,66.5208,65.1,206431,66.385,1.57E+12,106373676,65.8052,AAPL,Equity
11/21/2019,65.5025,66.0013,65.295,162665,65.9225,1.57E+12,119995112,65.5687,AAPL,Equity
11/22/2019,65.445,65.795,65.21,133445,65.6475,1.57E+12,65325052,65.4791,AAPL,Equity
11/25/2019,66.5925,66.61,65.63,129647,65.6775,1.57E+12,84118068,66.3526,AAPL,Equity
11/26/2019,66.0725,66.79,65.625,135753,66.735,1.57E+12,105339528,66.3289,AAPL,Equity
11/27/2019,66.96,66.995,66.3275,120479,66.395,1.57E+12,65544488,66.6647,AAPL,Equity
11/29/2019,66.8125,67,66.475,75130,66.65,1.58E+12,46617452,66.8303,AAPL,Equity
12/2/2019,66.04,67.0625,65.8625,173135,66.8175,1.58E+12,94549800,66.2698,AAPL,Equity
12/3/2019,64.8625,64.8825,64.0725,245821,64.5775,1.58E+12,117509072,64.5239,AAPL,Equity
12/4/2019,65.435,65.8275,65.17,141699,65.2675,1.58E+12,67241552,65.5129,AAPL,Equity
12/5/2019,66.395,66.4725,65.6825,142919,65.9475,1.58E+12,74645372,66.154,AAPL,Equity
12/6/2019,67.6775,67.75,66.825,192704,66.87,1.58E+12,106189972,67.4681,AAPL,Equity
12/9/2019,66.73,67.7,66.2275,220537,67.5,1.58E+12,128730580,66.8076,AAPL,Equity
12/10/2019,67.12,67.5175,66.465,180826,67.15,1.58E+12,90529532,67.1673,AAPL,Equity
12/11/2019,67.6925,67.775,67.125,139866,67.2025,1.58E+12,78893564,67.5627,AAPL,Equity
12/12/2019,67.865,68.14,66.8303,261547,66.945,1.58E+12,137748168,67.5474,AAPL,Equity
12/13/2019,68.7875,68.825,67.7325,253684,67.865,1.58E+12,133731224,68.4777,AAPL,Equity
12/16/2019,69.965,70.1975,69.245,203140,69.25,1.58E+12,128318920,69.92,AAPL,Equity
12/17/2019,70.1025,70.4425,69.7,195565,69.8925,1.58E+12,113645192,70.1524,AAPL,Equity
12/18/2019,69.935,70.475,69.78,181285,69.95,1.58E+12,116093948,70.0699,AAPL,Equity
12/19/2019,70.005,70.295,69.7375,161576,69.875,1.58E+12,98507788,69.9697,AAPL,Equity
12/20/2019,69.86,70.6625,69.64,214243,70.5575,1.58E+12,276130972,70.0428,AAPL,Equity
12/23/2019,71,71.0625,70.0934,169949,70.1325,1.58E+12,98265932,70.7994,AAPL,Equity
12/24/2019,71.0675,71.2225,70.7299,82669,71.1725,1.58E+12,48478856,71.0203,AAPL,Equity
12/26/2019,72.4775,72.495,71.175,170217,71.205,1.58E+12,93336016,72.036,AAPL,Equity
12/27/2019,72.45,73.4925,72.03,263594,72.78,1.58E+12,146371744,72.6935,AAPL,Equity
12/30/2019,72.88,73.1725,71.305,264186,72.365,1.58E+12,144238456,72.4813,AAPL,Equity
12/31/2019,73.4125,73.42,72.38,185419,72.4825,1.58E+12,100990500,73.0982,AAPL,Equity
1/2/2020,75.0875,75.15,73.7975,283480,74.06,1.58E+12,135647456,74.6099,AAPL,Equity
1/3/2020,74.3575,75.145,74.125,280940,74.2875,1.58E+12,146535512,74.7026,AAPL,Equity
1/6/2020,74.95,74.99,73.1875,242860,73.4475,1.58E+12,118518576,74.4499,AAPL,Equity
1/7/2020,74.5975,75.225,74.37,227868,74.96,1.58E+12,111510620,74.7311,AAPL,Equity
1/8/2020,75.7975,76.11,74.289,261770,74.29,1.58E+12,132363784,75.2914,AAPL,Equity
